song_id;Year;Order;Country;Singer;Title;Points;Place;in_english;songid;lovementions;population
636;1992;8;Portugal;Diná;Amor D'agua Fresca;26;17;FALSE;636;8;10310000
637;1992;9;Cyprus;Evridiki / Ευριδίκη;Tairiazoume / Ταιριάζουμε;57;11;FALSE;637;0;1180000
638;1992;10;Malta;Mary Spiteri;Little Child;123;3;TRUE;638;0;460297
639;1992;11;Iceland;Heart 2 Heart;Nei Eda Ja;80;7;FALSE;639;1;338349
640;1992;12;Finland;Pave;Yamma Yamma;4;23;FALSE;640;0;5503000
641;1992;13;Switzerland;Daisy Auvray;Mister Music Man;32;15;FALSE;641;0;8420000
642;1992;14;Luxembourg;Marion Welter;Sou Fräi;10;21;FALSE;642;0;590667
643;1992;15;Austria;Tony Wegas;Zusammen Geh'n;63;10;FALSE;643;4;8773000
644;1992;16;United Kingdom;Michael Ball;One Step Out Of Time;139;2;TRUE;644;4;66020000
645;1992;17;Ireland;Linda Martin ;Why Me?;155;1;TRUE;645;2;4784000
646;1992;18;Denmark;Lotte Nilsson & Kenny Lübcke;Alt Det Som Ingen Ser;47;12;FALSE;646;3;5770000
647;1992;19;Italy;Mia Martini;Rapsodia;111;4;FALSE;647;4;60590000
648;1992;20;Yugoslavia;Extra Nena;Ljubim Te Pesmama;44;13;FALSE;648;3;22183000
649;1992;21;Norway;Merethe Trøan;Visjoner;23;18;FALSE;649;7;5258000
650;1992;22;Germany;Wind;Traüme Sind Für Alle Da;27;16;FALSE;650;0;82790000
651;1992;23;Netherlands;Humphrey Campbell;Wijs Me De Weg;67;9;FALSE;651;1;17000000
652;1993;1;Italy;Enrico Ruggeri;Sole d'Europa;45;12;FALSE;652;0;60590000
653;1993;2;Turkey;Burak Aydos & Serter & Baybora Öztürk;Esmer Yarim;10;21;FALSE;653;2;79810000
654;1993;3;Germany;Münchener Freiheit;Viel Zu Weit;18;18;FALSE;654;0;82790000
655;1993;4;Switzerland;Annie Cotton;Moi, Tout Simplement;148;3;FALSE;655;0;8420000
656;1993;5;Denmark;Tommy Seebach Band;Under Stjernerne På Himlen;9;22;FALSE;656;0;5770000
657;1993;6;Greece;Keti Garbi / Καίτη Γαρμπή;Ellanda, Hora Tou Fotos / Ελλάδα, χώρα του φωτός;64;9;FALSE;657;0;10770000
658;1993;7;Belgium;Barbara;Iemand Als Jij;3;25;FALSE;658;5;11350000
659;1993;8;Malta;William Mangion;This Time;69;8;TRUE;659;7;460297
660;1993;9;Iceland;Inga;Pa Veistu Svardid;42;13;FALSE;660;0;338349
661;1993;10;Austria;Tony Wegas;Maria Magdalena;32;14;FALSE;661;2;8773000
662;1993;11;Portugal;Anabela;A Cidade Ate Ser Dia;60;10;FALSE;662;0;10310000
663;1993;12;France;Patrick Fiori;Mama Corsica;121;4;FALSE;663;3;67120000
664;1993;13;Sweden;Arvingarna;Eloise;89;7;FALSE;664;3;9995000
665;1993;14;Ireland;Niamh Kavanagh ;In Your Eyes;187;1;TRUE;665;4;4784000
666;1993;15;Luxembourg;Modern Times;Donne-moi Une Chance;11;20;FALSE;666;0;590667
667;1993;16;Slovenia;1X Band;Tih Deževen Dan;9;23;FALSE;667;0;1990000
668;1993;17;Finland;Katri Helena;Tule Luo;20;17;FALSE;668;0;5503000
669;1993;18;Bosnia-Herzegovina;Fazla;Sva Bol Svijeta;27;16;FALSE;669;1;3880000
670;1993;19;United Kingdom;Sonia;Better The Devil You Know;164;2;TRUE;670;11;66020000
671;1993;20;Netherlands;Ruth Jacott;Vrede;92;6;FALSE;671;0;17000000
672;1993;21;Croatia;Put;Don't Ever Cry;31;15;FALSE;672;4;4480000
673;1993;22;Spain;Eva Santamaria;Hombres;58;11;FALSE;673;1;46570000
674;1993;23;Cyprus;Kyriakos Zymboulakis & Demos van Beke / Κ.Ζυμπουλάκης & Δ.Van Beke;Mi Stamatas / Mην σταματάς;17;19;FALSE;674;0;1180000
675;1993;24;Israel;Lahakat Shiru / להקת שירו;Shiru / שירו;4;24;FALSE;675;1;8712000
676;1993;25;Norway;Silje Vige;Alle Mine Tankar;120;5;FALSE;676;0;5258000
677;1994;1;Sweden;Marie Bergman & Roger Pontare;Stjärnorna;48;13;FALSE;677;3;9995000
678;1994;2;Finland;CatCat;Bye Bye Baby;11;22;FALSE;678;5;5503000
679;1994;3;Ireland;Paul Harrington & Charlie McGettigan ;Rock 'n' Roll Kids;226;1;TRUE;679;1;4784000
680;1994;4;Cyprus;Evridiki / Ευριδίκη;Eimai Anthropos Ki Ego / Είμαι Άνθρωπος Κι Εγώ;51;11;FALSE;680;2;1180000
681;1994;5;Iceland;Sigga;Nætur;49;12;FALSE;681;0;338349
682;1994;6;United Kingdom;Frances Ruffelle;We Will Be Free (lonely Symphony);63;10;TRUE;682;1;66020000
683;1994;7;Croatia;Tony Cetinski;Nek 'ti Bude Ljubav Sva;27;16;FALSE;683;8;4480000
684;1994;8;Portugal;Sara Tavares;Chamar A Musica;73;8;FALSE;684;3;10310000
685;1994;9;Switzerland;Duilio;Sto Pregando;15;20;FALSE;685;2;8420000
686;1994;10;Estonia;Silvi Vrait;Nagu Merelaine;2;24;FALSE;686;0;1316000
687;1994;11;Romania;Dan Bittman;Dincolo De Nori;14;21;FALSE;687;1;19640000
688;1994;12;Malta;Moira & Chris;More Than Love;97;5;TRUE;688;5;460297
689;1994;13;Netherlands;Willeke Alberti;Waar Is De Zon?;4;23;FALSE;689;0;17000000
690;1994;14;Germany;Mekado;Wir Geben 'ne Party;128;3;FALSE;690;0;82790000
691;1994;15;Slovakia;Martin Durinda & Tublatanka;Nekonečná Pieseň;15;19;FALSE;691;4;5435000
692;1994;16;Lithuania;Ovidijus Vyshniauskas;Lopišiné Mylimaj;0;24;FALSE;692;1;2848000
693;1994;17;Norway;Elisabeth Andreasson & Jan Werner Danielsen;Duett;76;6;FALSE;693;0;5258000
694;1994;18;Bosnia-Herzegovina;Alma & Dejan;Ostani Kraj Mene;39;15;FALSE;694;3;3880000
695;1994;19;Greece;Costas Bigalis & the Sea lovers / Κώστας Μπίγαλης & Sea lovers;To Trehantiri / To Τρεχαντήρι;44;14;FALSE;695;0;10770000
696;1994;20;Austria;Petra Frey;Für Den Frieden Der Welt;19;17;FALSE;696;2;8773000
697;1994;21;Spain;Alejandro Abad;Ella No Es Ella;17;18;FALSE;697;0;46570000
698;1994;22;Hungary;Friederika;Kinek Mondjam El Vétkeimet;122;4;FALSE;698;1;9781000
699;1994;23;Russia;Youddiph / Юдифь;Vechni Stranik / Вечный странник;70;9;FALSE;699;0;144500000
700;1994;24;Poland;Edyta Górniak;To Nie Ja;166;2;FALSE;700;2;37970000
701;1994;25;France;Nina Morato;Je Suis Un Vrai Garçon;74;7;FALSE;701;3;67120000
702;1995;1;Poland;Justyna Steczkowska;Sama;15;18;FALSE;702;1;37970000
703;1995;2;Ireland;Eddie Friel;Dreamin';44;14;TRUE;703;1;4784000
704;1995;3;Germany;Stone & Stone;Verliebt In Dich;1;23;FALSE;704;10;82790000
705;1995;4;Bosnia-Herzegovina;Davorin Popović;Dvadeset I Prvi Viijek;14;19;FALSE;705;2;3880000
706;1995;5;Norway;Secret Garden ;Nocturne;148;1;FALSE;706;0;5258000
707;1995;6;Russia;Philip Kirkorov / Филипп Киркоров;Kolybelnaya Dlya Vulkana / Кольібельная для вулкана;17;17;FALSE;707;0;144500000
708;1995;7;Iceland;Bo Halldórsson;Núna;31;15;FALSE;708;11;338349
709;1995;8;Austria;Stella Jones;Die Welt Dreht Sich Verkehrt;67;13;FALSE;709;0;8773000
710;1995;9;Spain;Anabel Conde;Vuelve Conmigo;119;2;FALSE;710;6;46570000
711;1995;10;Turkey;Arzu Ece;Sev;21;16;FALSE;711;8;79810000
712;1995;11;Croatia;Magazin & Lidija;Nostalgija;91;6;FALSE;712;0;4480000
713;1995;12;France;Nathalie Santamaria;Il Me Donne Rendez-vous;94;4;FALSE;713;0;67120000
714;1995;13;Hungary;Czaba Szigeti;Új Név A Régi Ház Falán;3;22;FALSE;714;0;9781000
715;1995;14;Belgium;Frédéric Etherlinck;La Voix Est Libre;8;20;FALSE;715;0;11350000
716;1995;15;United Kingdom;Love City Groove;Love City Groove;76;11;TRUE;716;13;66020000
717;1995;16;Portugal;Tó Cruz;Baunilha E Chocolate;5;21;FALSE;717;5;10310000
718;1995;17;Cyprus;Alexandros Panayi / Aλεξ. Παναγής;Sti Fotia / Στην φωτιά;79;9;FALSE;718;1;1180000
719;1995;18;Sweden;Jan Johansen;Se På Mej;100;3;FALSE;719;1;9995000
720;1995;19;Denmark;Aud Wilken;Fra Mols Til Skagen;92;5;FALSE;720;0;5770000
721;1995;20;Slovenia;Darja Švajger;Prisluhni Mi;84;7;FALSE;721;3;1990000
722;1995;21;Israel;Liora / ליאורה;Amen / אמן;81;8;FALSE;722;2;8712000
723;1995;22;Malta;Mike Spiteri;Keep Me In Mind;76;10;TRUE;723;4;460297
724;1995;23;Greece;Elina Constantopoulou / Ελίνα Κωνσταντοπούλου;Pia Prosefhi / Ποια προσευχή;68;12;FALSE;724;0;10770000
725;1996;1;Turkey;Sebnem Paker;Besinci Mevsim;57;12;FALSE;725;0;79810000
